routeId;loc;tripId;seed;avgSpeed;timeloss;route_length;elevation_up;elevation_down;trafficScale;numOfStops;emission
2100;nap_gellert_e;C76796560.0;2;6.982741935483871;10.7;433.36;6.629999999999996;-3.1599999999999966;0.7;2;129.25449120748937
1050;nap_gellert_e;C7679698.0;2;4.0453125000000005;25.08;262.1;0.4199999999999875;-9.859999999999983;0.7;2;165.2294151233087
1020;nap_gellert_e;C77264550.0;2;7.029103896103896;157.96;5418.96;142.19000000000003;-131.05000000000004;0.7;9;1411.3645287145166
1780;nap_gellert_e;C774343724.0;2;5.344866310160428;34.51;999.52;23.72999999999999;-1.8100000000000025;0.7;3;421.93279606822375
1120;nap_gellert_e;C77569239.0;2;1.939077536773872;3254.12;7822.64;293.8500000000001;-104.35000000000008;0.7;14;4636.698077819278
1100;nap_gellert_e;C77569330.0;2;0.7455451642335765;4042.9;3324.31;36.53999999999999;-115.5;0.7;10;3381.6032353337555
1100;nap_gellert_e;C77569429.0;2;6.961373134328358;174.5;4677.59;184.56;-56.900000000000006;0.7;8;1923.1368909906048
1120;nap_gellert_e;C775695670.0;2;1.5244478764478766;4391.44;7902.05;79.68999999999997;-278.78;0.7;12;5181.847128820804
1120;nap_gellert_e;C775695826.0;2;1.654586040662335;3982.78;7902.05;79.34999999999994;-278.48999999999995;0.7;12;4988.808280115727
9080;nap_gellert_e;C77632401.0;2;2.497967698519515;561.09;1857.21;17.610000000000014;-19.480000000000004;0.7;4;853.3202214543157
1390;nap_gellert_e;C7769412.0;2;0.8769435396308363;1685.27;1627.17;5.980000000000004;-34.140000000000015;0.7;4;1471.1092596924293
1390;nap_gellert_e;C776944930.0;2;3.854349593495935;482.66;2866.34;46.20000000000003;-15.52000000000004;0.7;6;1138.8627553562335
1390;nap_gellert_e;C77694756.0;2;1.6321042084168338;840.06;1636.63;5.979999999999961;-34.12999999999997;0.7;4;1080.6994682977472
1390;nap_gellert_e;C77694886.0;2;1.2815238536359426;1910.72;2780.03;44.87999999999997;-14.219999999999956;0.7;6;1854.7625379249805
70;nap_gellert_e;C78013111.0;2;4.808230994152047;314.88;3294.68;89.22000000000003;-90.01000000000002;0.7;7;1181.0592085278572
70;nap_gellert_e;C78013441.0;2;4.602983193277311;344.99;3294.68;88.50999999999999;-89.42999999999998;0.7;7;1170.454029802662
70;nap_gellert_e;C78013666.0;2;4.55585062240664;353.45;3294.68;90.16;-90.02;0.7;7;1175.378581595597
70;nap_gellert_e;C78013841.0;2;4.735165467625899;325.45;3294.68;89.63999999999997;-90.02999999999996;0.7;7;1122.7965976974854
50;nap_gellert_e;C7810534.0;2;8.535984251968504;30.24;2169.76;79.57;-63.61999999999999;0.7;2;543.3490695296643
50;nap_gellert_e;C7810599.0;2;6.367272727272727;42.67;777.2;29.430000000000007;-35.84;0.7;2;278.67096462262083
1500;nap_gellert_e;C78144121.0;2;4.827664974619289;196.7;1904.06;22.23000000000001;-16.950000000000017;0.7;6;783.9310729587202
1500;nap_gellert_e;C78144153.0;2;4.648762886597938;295.38;2706.75;20.349999999999994;-29.3;0.7;7;1118.6512585256792
1500;nap_gellert_e;C78144166.0;2;5.0576329787234044;178.75;1904.06;22.110000000000014;-16.85000000000001;0.7;6;741.8688069221749
1500;nap_gellert_e;C78144341.0;2;5.006552631578948;182.69;1904.06;22.26000000000004;-16.970000000000027;0.7;6;783.687664381497
1502;nap_gellert_e;C78144378.0;2;4.53494966442953;259.47;2706.75;20.21;-29.14999999999999;0.7;7;1102.012140372194
85;nap_gellert_e;C782451142.0;2;1.737382289416847;3399.6;8078.15;172.6099999999999;-218.82;0.7;19;4119.842870884367
85;nap_gellert_e;C78245214.0;2;3.8241818992420864;1288.38;8607.47;238.4;-192.36;0.7;18;3059.345049972313
85;nap_gellert_e;C7824549.0;2;1.7790534893439196;3787.66;8606.34;238.44999999999987;-192.4099999999999;0.7;18;4277.096145883495
85;nap_gellert_e;C78245662.0;2;1.7909739826551034;3243.91;8064.11;173.30999999999986;-218.84999999999985;0.7;19;4048.207816606081
